study SID category name item
01-pairs 10506 pers A A
01-pairs 10506 pers A kind
01-pairs 10506 pers A rude
01-pairs 10506 pers C C
01-pairs 10506 pers C lazy
01-pairs 10506 pers C reliable
01-pairs 10506 pers E E
01-pairs 10506 pers E outgoing
01-pairs 10506 pers E quiet
01-pairs 10506 pers N depressed
01-pairs 10506 pers N N
01-pairs 10506 pers N relaxed
01-pairs 10506 pers N worried
01-pairs 10506 sit Duty Duty
01-pairs 10506 sit Intellect Intellect
01-pairs 10506 sit Mating Mating
01-pairs 10506 sit Negativity Negativity
01-pairs 10506 sit pOsitivity pOsitivity
01-pairs 10506 sit Sociality Sociality
01-pairs 16461 pers A A
01-pairs 16461 pers A kind
01-pairs 16461 pers A rude
01-pairs 16461 pers C C
01-pairs 16461 pers C lazy
01-pairs 16461 pers C reliable
01-pairs 16461 pers E E
01-pairs 16461 pers E outgoing
01-pairs 16461 pers E quiet
01-pairs 16461 pers N N
01-pairs 16461 pers N relaxed
01-pairs 16461 pers N worried
01-pairs 16461 sit Adversity Adversity
01-pairs 16461 sit Deception Deception
01-pairs 16461 sit Duty Duty
01-pairs 16461 sit Intellect Intellect
01-pairs 16461 sit Mating Mating
01-pairs 16461 sit Negativity Negativity
01-pairs 16461 sit pOsitivity pOsitivity
01-pairs 16461 sit Sociality Sociality
01-pairs 21701 pers C C
01-pairs 21701 pers C lazy
01-pairs 21701 pers C reliable
01-pairs 21701 pers E E
01-pairs 21701 pers E outgoing
01-pairs 21701 pers E quiet
01-pairs 21701 pers N depressed
01-pairs 21701 pers N N
01-pairs 21701 pers N relaxed
01-pairs 21701 pers N worried
01-pairs 25645 pers A A
01-pairs 25645 pers A kind
01-pairs 25645 pers A rude
01-pairs 25645 pers C C
01-pairs 25645 pers C lazy
01-pairs 25645 pers C reliable
01-pairs 25645 pers E E
01-pairs 25645 pers E outgoing
01-pairs 25645 pers E quiet
01-pairs 25645 pers N depressed
01-pairs 25645 pers N N
01-pairs 25645 pers N relaxed
01-pairs 25645 pers N worried
01-pairs 25645 sit Duty Duty
01-pairs 25645 sit Intellect Intellect
01-pairs 25645 sit Mating Mating
01-pairs 25645 sit Negativity Negativity
01-pairs 25645 sit pOsitivity pOsitivity
01-pairs 25645 sit Sociality Sociality
01-pairs 28355 pers A A
01-pairs 28355 pers A kind
01-pairs 28355 pers A rude
01-pairs 28355 pers C C
01-pairs 28355 pers C lazy
01-pairs 28355 pers C reliable
01-pairs 28355 pers E E
01-pairs 28355 pers E outgoing
01-pairs 28355 pers E quiet
01-pairs 28355 pers N depressed
01-pairs 28355 pers N N
01-pairs 28355 pers N relaxed
01-pairs 28355 pers N worried
01-pairs 28355 sit Adversity Adversity
01-pairs 28355 sit Deception Deception
01-pairs 28355 sit Duty Duty
01-pairs 28355 sit Intellect Intellect
01-pairs 28355 sit Mating Mating
01-pairs 28355 sit Negativity Negativity
01-pairs 28355 sit pOsitivity pOsitivity
01-pairs 28355 sit Sociality Sociality
01-pairs 35850 pers C C
01-pairs 35850 pers C lazy
01-pairs 35850 pers C reliable
01-pairs 35850 pers E E
01-pairs 35850 pers E outgoing
01-pairs 35850 pers E quiet
01-pairs 35850 pers N depressed
01-pairs 35850 pers N N
01-pairs 35850 pers N relaxed
01-pairs 35850 pers N worried
01-pairs 35850 sit Duty Duty
01-pairs 35850 sit Intellect Intellect
01-pairs 35850 sit Mating Mating
01-pairs 35850 sit Negativity Negativity
01-pairs 35850 sit pOsitivity pOsitivity
01-pairs 35850 sit Sociality Sociality
01-pairs 37388 pers A A
01-pairs 37388 pers A kind
01-pairs 37388 pers A rude
01-pairs 37388 pers C C
01-pairs 37388 pers C lazy
01-pairs 37388 pers C reliable
01-pairs 37388 pers E E
01-pairs 37388 pers E outgoing
01-pairs 37388 pers E quiet
01-pairs 37388 pers N depressed
01-pairs 37388 pers N N
01-pairs 37388 pers N relaxed
01-pairs 37388 pers N worried
01-pairs 37388 sit Adversity Adversity
01-pairs 37388 sit Duty Duty
01-pairs 37388 sit Intellect Intellect
01-pairs 37388 sit Mating Mating
01-pairs 37388 sit Negativity Negativity
01-pairs 37388 sit pOsitivity pOsitivity
01-pairs 37388 sit Sociality Sociality
01-pairs 39519 pers A A
01-pairs 39519 pers A kind
01-pairs 39519 pers A rude
01-pairs 39519 pers C C
01-pairs 39519 pers C lazy
01-pairs 39519 pers C reliable
01-pairs 39519 pers E E
01-pairs 39519 pers E outgoing
01-pairs 39519 pers E quiet
01-pairs 39519 pers N depressed
01-pairs 39519 pers N N
01-pairs 39519 pers N relaxed
01-pairs 39519 pers N worried
01-pairs 39519 sit Adversity Adversity
