study category name item
01-pairs pers A A
01-pairs pers A kind
01-pairs pers A rude
01-pairs pers C C
01-pairs pers C lazy
01-pairs pers C reliable
01-pairs pers E E
01-pairs pers E outgoing
01-pairs pers E quiet
01-pairs pers N depressed
01-pairs pers N N
01-pairs pers N relaxed
01-pairs pers N worried
01-pairs sit Adversity Adversity
01-pairs sit Deception Deception
01-pairs sit Duty Duty
01-pairs sit Intellect Intellect
01-pairs sit Mating Mating
01-pairs sit Negativity Negativity
01-pairs sit pOsitivity pOsitivity
01-pairs sit Sociality Sociality
02-ipcs pers A A
02-ipcs pers A Cmpn
02-ipcs pers A Rspct
02-ipcs pers A Trust
02-ipcs pers C C
02-ipcs pers C Org
02-ipcs pers C Prdctv
02-ipcs pers C Rspnbl
02-ipcs pers E Assert
02-ipcs pers E Cmpn
02-ipcs pers E E
02-ipcs pers E EnerLev
02-ipcs pers E Scblty
02-ipcs pers N Anxty
02-ipcs pers N Depr
02-ipcs pers N EmoVol
02-ipcs pers N N
02-ipcs pers O AesSens
02-ipcs pers O CrtvImag
02-ipcs pers O IntCur
02-ipcs pers O O
02-ipcs sit Adversity Adversity
02-ipcs sit Deception Deception
02-ipcs sit Duty Duty
02-ipcs sit Intellect Intellect
02-ipcs sit Mating Mating
02-ipcs sit Negativity Negativity
02-ipcs sit pOsitivity pOsitivity
02-ipcs sit Sociability Sociability
03-sherman pers A A
03-sherman pers C C
03-sherman pers E dominant
03-sherman pers E E
03-sherman pers E outgoing
03-sherman pers N N
03-sherman pers O O
03-sherman sit Adversity Adversity
03-sherman sit Deception Deception
03-sherman sit Duty Duty
03-sherman sit Intellect Intellect
03-sherman sit Mating Mating
03-sherman sit Negativity Negativity
03-sherman sit pOsitivity pOsitivity
03-sherman sit Sociality Sociality
04-horstmann pers A A
04-horstmann pers A agreeable
04-horstmann pers C C
04-horstmann pers C organized
04-horstmann pers E dominant
04-horstmann pers E E
04-horstmann pers E outgoing
04-horstmann pers N emotional
04-horstmann pers N N
04-horstmann pers O intelligent
04-horstmann pers O O
04-horstmann sit Adversity Adversity
04-horstmann sit Deception Deception
04-horstmann sit Duty Duty
04-horstmann sit Intellect Intellect
04-horstmann sit Mating Mating
04-horstmann sit Negativity Negativity
04-horstmann sit pOsitivity pOsitivity
04-horstmann sit Sociality Sociality
