study SID p_name p_item s_name done
02-ipcs 01 A A Deception NA
02-ipcs 01 A A Duty NA
02-ipcs 01 A A Intellect NA
02-ipcs 01 A A Mating NA
02-ipcs 01 A A Negativity NA
02-ipcs 01 A A pOsitivity NA
02-ipcs 01 A A Sociability NA
02-ipcs 01 A Cmpn Adversity NA
02-ipcs 01 A Cmpn Deception NA
02-ipcs 01 A Cmpn Duty NA
02-ipcs 01 A Cmpn Intellect NA
02-ipcs 01 A Cmpn Mating NA
02-ipcs 01 A Cmpn Negativity NA
02-ipcs 01 A Cmpn pOsitivity NA
02-ipcs 01 A Cmpn Sociability NA
02-ipcs 01 A Rspct Adversity NA
02-ipcs 01 A Rspct Deception NA
02-ipcs 01 A Rspct Duty NA
02-ipcs 01 A Rspct Intellect NA
02-ipcs 01 A Rspct Mating NA
02-ipcs 01 A Rspct Negativity NA
02-ipcs 01 A Rspct pOsitivity NA
02-ipcs 01 A Rspct Sociability NA
02-ipcs 01 A Trust Adversity NA
02-ipcs 01 A Trust Deception NA
02-ipcs 01 A Trust Duty NA
02-ipcs 01 A Trust Intellect NA
02-ipcs 01 A Trust Mating NA
02-ipcs 01 A Trust Negativity NA
02-ipcs 01 A Trust pOsitivity NA
02-ipcs 01 A Trust Sociability NA
02-ipcs 01 C C Adversity NA
02-ipcs 01 C C Deception NA
02-ipcs 01 C C Duty NA
02-ipcs 01 C C Intellect NA
02-ipcs 01 C C Mating NA
02-ipcs 01 C C Negativity NA
02-ipcs 01 C C pOsitivity NA
02-ipcs 01 C C Sociability NA
02-ipcs 01 C Org Adversity NA
02-ipcs 01 C Org Deception NA
02-ipcs 01 C Org Duty NA
02-ipcs 01 C Org Intellect NA
02-ipcs 01 C Org Mating NA
02-ipcs 01 C Org Negativity NA
02-ipcs 01 C Org pOsitivity NA
02-ipcs 01 C Org Sociability NA
02-ipcs 01 C Prdctv Adversity NA
02-ipcs 01 C Prdctv Deception NA
02-ipcs 01 C Prdctv Duty NA
02-ipcs 01 C Prdctv Intellect NA
02-ipcs 01 C Prdctv Mating NA
02-ipcs 01 C Prdctv Negativity NA
02-ipcs 01 C Prdctv pOsitivity NA
02-ipcs 01 C Prdctv Sociability NA
02-ipcs 01 C Rspnbl Adversity NA
02-ipcs 01 C Rspnbl Deception NA
02-ipcs 01 C Rspnbl Duty NA
02-ipcs 01 C Rspnbl Intellect NA
02-ipcs 01 C Rspnbl Mating NA
02-ipcs 01 C Rspnbl Negativity NA
02-ipcs 01 C Rspnbl pOsitivity NA
02-ipcs 01 C Rspnbl Sociability NA
02-ipcs 01 E Assert Adversity NA
02-ipcs 01 E Assert Deception NA
02-ipcs 01 E Assert Duty NA
02-ipcs 01 E Assert Intellect NA
02-ipcs 01 E Assert Mating NA
02-ipcs 01 E Assert Negativity NA
02-ipcs 01 E Assert pOsitivity NA
02-ipcs 01 E Assert Sociability NA
02-ipcs 01 E Cmpn Adversity NA
02-ipcs 01 E Cmpn Deception NA
02-ipcs 01 E Cmpn Duty NA
02-ipcs 01 E Cmpn Intellect NA
02-ipcs 01 E Cmpn Mating NA
02-ipcs 01 E Cmpn Negativity NA
02-ipcs 01 E Cmpn pOsitivity NA
02-ipcs 01 E Cmpn Sociability NA
02-ipcs 01 E E Adversity NA
02-ipcs 01 E E Deception NA
02-ipcs 01 E E Duty NA
02-ipcs 01 E E Intellect NA
02-ipcs 01 E E Mating NA
02-ipcs 01 E E Negativity NA
02-ipcs 01 E E pOsitivity NA
02-ipcs 01 E E Sociability NA
02-ipcs 01 E EnerLev Adversity NA
02-ipcs 01 E EnerLev Deception NA
02-ipcs 01 E EnerLev Duty NA
02-ipcs 01 E EnerLev Intellect NA
02-ipcs 01 E EnerLev Mating NA
02-ipcs 01 E EnerLev Negativity NA
02-ipcs 01 E EnerLev pOsitivity NA
02-ipcs 01 E EnerLev Sociability NA
02-ipcs 01 E Scblty Adversity NA
02-ipcs 01 E Scblty Deception NA
02-ipcs 01 E Scblty Duty NA
02-ipcs 01 E Scblty Intellect NA
02-ipcs 01 E Scblty Mating NA
02-ipcs 01 E Scblty Negativity NA
02-ipcs 01 E Scblty pOsitivity NA
02-ipcs 01 E Scblty Sociability NA
02-ipcs 01 N Anxty Adversity NA
02-ipcs 01 N Anxty Deception NA
02-ipcs 01 N Anxty Duty NA
02-ipcs 01 N Anxty Intellect NA
02-ipcs 01 N Anxty Mating NA
02-ipcs 01 N Anxty Negativity NA
02-ipcs 01 N Anxty pOsitivity NA
02-ipcs 01 N Anxty Sociability NA
02-ipcs 01 N Depr Adversity NA
02-ipcs 01 N Depr Deception NA
02-ipcs 01 N Depr Duty NA
02-ipcs 01 N Depr Intellect NA
02-ipcs 01 N Depr Mating NA
02-ipcs 01 N Depr Negativity NA
02-ipcs 01 N Depr pOsitivity NA
02-ipcs 01 N Depr Sociability NA
02-ipcs 01 N EmoVol Adversity NA
02-ipcs 01 N EmoVol Deception NA
02-ipcs 01 N EmoVol Duty NA
02-ipcs 01 N EmoVol Intellect NA
02-ipcs 01 N EmoVol Mating NA
02-ipcs 01 N EmoVol Negativity NA
02-ipcs 01 N EmoVol pOsitivity NA
02-ipcs 01 N EmoVol Sociability NA
02-ipcs 01 N N Adversity NA
02-ipcs 01 N N Deception NA
02-ipcs 01 N N Duty NA
02-ipcs 01 N N Intellect NA
02-ipcs 01 N N Mating NA
02-ipcs 01 N N Negativity NA
02-ipcs 01 N N pOsitivity NA
02-ipcs 01 N N Sociability NA
02-ipcs 01 O AesSens Adversity NA
02-ipcs 01 O AesSens Deception NA
02-ipcs 01 O AesSens Duty NA
02-ipcs 01 O AesSens Intellect NA
02-ipcs 01 O AesSens Mating NA
02-ipcs 01 O AesSens Negativity NA
02-ipcs 01 O AesSens pOsitivity NA
02-ipcs 01 O AesSens Sociability NA
02-ipcs 01 O CrtvImag Adversity NA
02-ipcs 01 O CrtvImag Deception NA
02-ipcs 01 O CrtvImag Duty NA
02-ipcs 01 O CrtvImag Intellect NA
02-ipcs 01 O CrtvImag Mating NA
02-ipcs 01 O CrtvImag Negativity NA
02-ipcs 01 O CrtvImag pOsitivity NA
02-ipcs 01 O CrtvImag Sociability NA
02-ipcs 01 O IntCur Adversity NA
02-ipcs 01 O IntCur Deception NA
02-ipcs 01 O IntCur Duty NA
02-ipcs 01 O IntCur Intellect NA
02-ipcs 01 O IntCur Mating NA
02-ipcs 01 O IntCur Negativity NA
02-ipcs 01 O IntCur pOsitivity NA
02-ipcs 01 O IntCur Sociability NA
02-ipcs 01 O O Adversity NA
02-ipcs 01 O O Deception NA
02-ipcs 01 O O Duty NA
02-ipcs 01 O O Intellect NA
02-ipcs 01 O O Mating NA
02-ipcs 01 O O Negativity NA
02-ipcs 01 O O pOsitivity NA
02-ipcs 01 O O Sociability NA
02-ipcs 02 A A Adversity NA
02-ipcs 02 A A Duty NA
02-ipcs 02 A A Intellect NA
02-ipcs 02 A A Mating NA
02-ipcs 02 A A Negativity NA
02-ipcs 02 A A pOsitivity NA
02-ipcs 02 A A Sociability NA
02-ipcs 02 A Cmpn Adversity NA
02-ipcs 02 A Cmpn Duty NA
02-ipcs 02 A Cmpn Intellect NA
02-ipcs 02 A Cmpn Mating NA
02-ipcs 02 A Cmpn Negativity NA
02-ipcs 02 A Cmpn pOsitivity NA
02-ipcs 02 A Cmpn Sociability NA
02-ipcs 02 A Rspct Adversity NA
02-ipcs 02 A Rspct Duty NA
02-ipcs 02 A Rspct Intellect NA
02-ipcs 02 A Rspct Mating NA
02-ipcs 02 A Rspct Negativity NA
02-ipcs 02 A Rspct pOsitivity NA
02-ipcs 02 A Rspct Sociability NA
02-ipcs 02 A Trust Adversity NA
02-ipcs 02 A Trust Duty NA
02-ipcs 02 A Trust Intellect NA
02-ipcs 02 A Trust Mating NA
02-ipcs 02 A Trust Negativity NA
02-ipcs 02 A Trust pOsitivity NA
02-ipcs 02 A Trust Sociability NA
02-ipcs 02 C C Adversity NA
02-ipcs 02 C C Duty NA
02-ipcs 02 C C Intellect NA
02-ipcs 02 C C Mating NA
02-ipcs 02 C C Negativity NA
02-ipcs 02 C C pOsitivity NA
02-ipcs 02 C C Sociability NA
02-ipcs 02 C Org Adversity NA
02-ipcs 02 C Org Duty NA
02-ipcs 02 C Org Intellect NA
02-ipcs 02 C Org Mating NA
02-ipcs 02 C Org Negativity NA
02-ipcs 02 C Org pOsitivity NA
02-ipcs 02 C Org Sociability NA
02-ipcs 02 C Prdctv Adversity NA
02-ipcs 02 C Prdctv Duty NA
02-ipcs 02 C Prdctv Intellect NA
02-ipcs 02 C Prdctv Mating NA
02-ipcs 02 C Prdctv Negativity NA
02-ipcs 02 C Prdctv pOsitivity NA
02-ipcs 02 C Prdctv Sociability NA
02-ipcs 02 C Rspnbl Adversity NA
02-ipcs 02 C Rspnbl Duty NA
02-ipcs 02 C Rspnbl Intellect NA
02-ipcs 02 C Rspnbl Mating NA
02-ipcs 02 C Rspnbl Negativity NA
02-ipcs 02 C Rspnbl pOsitivity NA
02-ipcs 02 C Rspnbl Sociability NA
02-ipcs 02 E Assert Adversity NA
02-ipcs 02 E Assert Duty NA
02-ipcs 02 E Assert Intellect NA
02-ipcs 02 E Assert Mating NA
02-ipcs 02 E Assert Negativity NA
02-ipcs 02 E Assert pOsitivity NA
02-ipcs 02 E Assert Sociability NA
02-ipcs 02 E Cmpn Adversity NA
02-ipcs 02 E Cmpn Duty NA
02-ipcs 02 E Cmpn Intellect NA
02-ipcs 02 E Cmpn Mating NA
02-ipcs 02 E Cmpn Negativity NA
02-ipcs 02 E Cmpn pOsitivity NA
02-ipcs 02 E Cmpn Sociability NA
02-ipcs 02 E E Adversity NA
02-ipcs 02 E E Duty NA
02-ipcs 02 E E Intellect NA
02-ipcs 02 E E Mating NA
02-ipcs 02 E E Negativity NA
02-ipcs 02 E E pOsitivity NA
02-ipcs 02 E E Sociability NA
02-ipcs 02 E EnerLev Adversity NA
02-ipcs 02 E EnerLev Duty NA
02-ipcs 02 E EnerLev Intellect NA
02-ipcs 02 E EnerLev Mating NA
02-ipcs 02 E EnerLev Negativity NA
02-ipcs 02 E EnerLev pOsitivity NA
02-ipcs 02 E EnerLev Sociability NA
02-ipcs 02 E Scblty Adversity NA
02-ipcs 02 E Scblty Duty NA
02-ipcs 02 E Scblty Intellect NA
02-ipcs 02 E Scblty Mating NA
02-ipcs 02 E Scblty Negativity NA
02-ipcs 02 E Scblty pOsitivity NA
02-ipcs 02 E Scblty Sociability NA
02-ipcs 02 N Anxty Adversity NA
02-ipcs 02 N Anxty Duty NA
02-ipcs 02 N Anxty Intellect NA
02-ipcs 02 N Anxty Mating NA
02-ipcs 02 N Anxty Negativity NA
02-ipcs 02 N Anxty pOsitivity NA
02-ipcs 02 N Anxty Sociability NA
02-ipcs 02 N Depr Adversity NA
02-ipcs 02 N Depr Duty NA
02-ipcs 02 N Depr Intellect NA
02-ipcs 02 N Depr Mating NA
02-ipcs 02 N Depr Negativity NA
02-ipcs 02 N Depr pOsitivity NA
02-ipcs 02 N Depr Sociability NA
02-ipcs 02 N EmoVol Adversity NA
02-ipcs 02 N EmoVol Duty NA
02-ipcs 02 N EmoVol Intellect NA
02-ipcs 02 N EmoVol Mating NA
02-ipcs 02 N EmoVol Negativity NA
02-ipcs 02 N EmoVol pOsitivity NA
02-ipcs 02 N EmoVol Sociability NA
02-ipcs 02 N N Adversity NA
02-ipcs 02 N N Duty NA
02-ipcs 02 N N Intellect NA
02-ipcs 02 N N Mating NA
02-ipcs 02 N N Negativity NA
02-ipcs 02 N N pOsitivity NA
02-ipcs 02 N N Sociability NA
02-ipcs 02 O AesSens Adversity NA
02-ipcs 02 O AesSens Duty NA
02-ipcs 02 O AesSens Intellect NA
02-ipcs 02 O AesSens Mating NA
02-ipcs 02 O AesSens Negativity NA
02-ipcs 02 O AesSens pOsitivity NA
02-ipcs 02 O AesSens Sociability NA
02-ipcs 02 O CrtvImag Adversity NA
02-ipcs 02 O CrtvImag Duty NA
02-ipcs 02 O CrtvImag Intellect NA
02-ipcs 02 O CrtvImag Mating NA
02-ipcs 02 O CrtvImag Negativity NA
02-ipcs 02 O CrtvImag pOsitivity NA
