study p_name p_item s_name done
01-pairs A A Deception NA
01-pairs A A Duty NA
01-pairs A A Intellect NA
01-pairs A A Mating NA
01-pairs A A Negativity NA
01-pairs A A pOsitivity NA
01-pairs A A Sociality NA
01-pairs C C Adversity NA
01-pairs C C Deception NA
01-pairs C C Duty NA
01-pairs C C Intellect NA
01-pairs C C Mating NA
01-pairs C C Negativity NA
01-pairs C C pOsitivity NA
01-pairs C C Sociality NA
01-pairs E E Adversity NA
01-pairs E E Deception NA
01-pairs E E Duty NA
01-pairs E E Intellect NA
01-pairs E E Mating NA
01-pairs E E Negativity NA
01-pairs E E pOsitivity NA
01-pairs E E Sociality NA
01-pairs N N Adversity NA
01-pairs N N Deception NA
01-pairs N N Duty NA
01-pairs N N Intellect NA
01-pairs N N Mating NA
01-pairs N N Negativity NA
01-pairs N N pOsitivity NA
01-pairs N N Sociality NA
03-sherman A A Adversity NA
03-sherman A A Deception NA
03-sherman A A Duty NA
03-sherman A A Intellect NA
03-sherman A A Mating NA
03-sherman A A Negativity NA
03-sherman A A pOsitivity NA
03-sherman A A Sociality NA
03-sherman C C Adversity NA
03-sherman C C Deception NA
03-sherman C C Duty NA
03-sherman C C Intellect NA
03-sherman C C Mating NA
03-sherman C C Negativity NA
03-sherman C C pOsitivity NA
03-sherman C C Sociality NA
03-sherman E E Adversity NA
03-sherman E E Deception NA
03-sherman E E Duty NA
03-sherman E E Intellect NA
03-sherman E E Mating NA
03-sherman E E Negativity NA
03-sherman E E pOsitivity NA
03-sherman E E Sociality NA
03-sherman N N Adversity NA
03-sherman N N Deception NA
03-sherman N N Duty NA
03-sherman N N Intellect NA
03-sherman N N Mating NA
03-sherman N N Negativity NA
03-sherman N N pOsitivity NA
03-sherman N N Sociality NA
03-sherman O O Adversity NA
03-sherman O O Deception NA
03-sherman O O Duty NA
03-sherman O O Intellect NA
03-sherman O O Mating NA
03-sherman O O Negativity NA
03-sherman O O pOsitivity NA
03-sherman O O Sociality NA
04-horstmann A A Adversity NA
04-horstmann A A Deception NA
04-horstmann A A Duty NA
04-horstmann A A Intellect NA
04-horstmann A A Mating NA
04-horstmann A A Negativity NA
04-horstmann A A pOsitivity NA
04-horstmann A A Sociality NA
04-horstmann C C Adversity NA
04-horstmann C C Deception NA
04-horstmann C C Duty NA
04-horstmann C C Intellect NA
04-horstmann C C Mating NA
04-horstmann C C Negativity NA
04-horstmann C C pOsitivity NA
04-horstmann C C Sociality NA
04-horstmann E E Adversity NA
04-horstmann E E Deception NA
04-horstmann E E Duty NA
04-horstmann E E Intellect NA
04-horstmann E E Mating NA
04-horstmann E E Negativity NA
04-horstmann E E pOsitivity NA
04-horstmann E E Sociality NA
04-horstmann N N Adversity NA
04-horstmann N N Deception NA
04-horstmann N N Duty NA
04-horstmann N N Intellect NA
04-horstmann N N Mating NA
04-horstmann N N Negativity NA
04-horstmann N N pOsitivity NA
04-horstmann N N Sociality NA
04-horstmann O O Adversity NA
04-horstmann O O Deception NA
04-horstmann O O Duty NA
04-horstmann O O Intellect NA
04-horstmann O O Mating NA
04-horstmann O O Negativity NA
04-horstmann O O pOsitivity NA
04-horstmann O O Sociality NA
