SID,Date,category,name,value,item,tdif,delta_value
287,2015-11-06T16:54:00Z,pers,A,10,A,1.2,-4.166666666666667
287,2015-11-09T18:56:00Z,pers,A,5,A,NA,NA
287,2015-11-06T16:54:00Z,pers,A,10,kind,1.2,-8.333333333333334
287,2015-11-09T18:56:00Z,pers,A,0,kind,NA,NA
287,2015-11-06T16:54:00Z,pers,A,0,rude,1.2,0
287,2015-11-09T18:56:00Z,pers,A,0,rude,NA,NA
287,2015-11-06T16:54:00Z,pers,C,8.75,C,1.2,-3.125
287,2015-11-09T04:12:00Z,pers,C,7.5,C,14.733333333333333,0
287,2015-11-09T18:56:00Z,pers,C,7.5,C,NA,NA
287,2015-11-06T16:54:00Z,pers,C,2.5,lazy,1.2,2.0833333333333335
287,2015-11-09T04:12:00Z,pers,C,2.5,lazy,14.733333333333333,0
287,2015-11-09T18:56:00Z,pers,C,2.5,lazy,NA,NA
287,2015-11-06T16:54:00Z,pers,C,10,reliable,1.2,-4.166666666666667
287,2015-11-09T04:12:00Z,pers,C,7.5,reliable,14.733333333333333,0
287,2015-11-09T18:56:00Z,pers,C,7.5,reliable,NA,NA
287,2015-11-06T16:54:00Z,pers,E,0,E,1.2,0
287,2015-11-09T04:12:00Z,pers,E,0,E,14.733333333333333,0
287,2015-11-09T18:56:00Z,pers,E,0,E,NA,NA
287,2015-11-06T16:54:00Z,pers,E,0,outgoing,1.2,0
287,2015-11-09T04:12:00Z,pers,E,0,outgoing,14.733333333333333,0
287,2015-11-09T18:56:00Z,pers,E,0,outgoing,NA,NA
287,2015-11-06T16:54:00Z,pers,E,10,quiet,1.2,0
287,2015-11-09T04:12:00Z,pers,E,10,quiet,14.733333333333333,0
287,2015-11-09T18:56:00Z,pers,E,10,quiet,NA,NA
287,2015-11-06T16:54:00Z,pers,N,0,depressed,1.2,0
287,2015-11-09T04:12:00Z,pers,N,2.5,depressed,14.733333333333333,-0.16968325791855204
287,2015-11-09T18:56:00Z,pers,N,0,depressed,NA,NA
287,2015-11-06T16:54:00Z,pers,N,2.5,N,1.2,0
287,2015-11-09T04:12:00Z,pers,N,5,N,14.733333333333333,-0.16968325791855204
287,2015-11-09T18:56:00Z,pers,N,2.5,N,NA,NA
287,2015-11-06T16:54:00Z,pers,N,5,relaxed,1.2,0
287,2015-11-09T04:12:00Z,pers,N,2.5,relaxed,14.733333333333333,0.16968325791855204
287,2015-11-09T18:56:00Z,pers,N,5,relaxed,NA,NA
287,2015-11-06T16:54:00Z,pers,N,2.5,worried,1.2,0
287,2015-11-09T04:12:00Z,pers,N,5,worried,14.733333333333333,-0.16968325791855204
287,2015-11-09T18:56:00Z,pers,N,2.5,worried,NA,NA
287,2015-11-09T04:12:00Z,sit,Adversity,0,Adversity,14.733333333333333,0
287,2015-11-09T18:56:00Z,sit,Adversity,0,Adversity,NA,NA
287,2015-11-09T04:12:00Z,sit,Deception,0,Deception,14.733333333333333,0
287,2015-11-09T18:56:00Z,sit,Deception,0,Deception,NA,NA
287,2015-11-09T04:12:00Z,sit,Duty,10,Duty,14.733333333333333,0
287,2015-11-09T18:56:00Z,sit,Duty,10,Duty,NA,NA
287,2015-11-09T04:12:00Z,sit,Intellect,7.5,Intellect,14.733333333333333,-0.16968325791855204
287,2015-11-09T18:56:00Z,sit,Intellect,5,Intellect,NA,NA
287,2015-11-09T04:12:00Z,sit,Mating,0,Mating,14.733333333333333,0
287,2015-11-09T18:56:00Z,sit,Mating,0,Mating,NA,NA
287,2015-11-09T04:12:00Z,sit,Negativity,5,Negativity,14.733333333333333,-0.16968325791855204
287,2015-11-09T18:56:00Z,sit,Negativity,2.5,Negativity,NA,NA
287,2015-11-09T04:12:00Z,sit,pOsitivity,0,pOsitivity,14.733333333333333,0
287,2015-11-09T18:56:00Z,sit,pOsitivity,0,pOsitivity,NA,NA
287,2015-11-09T04:12:00Z,sit,Sociality,0,Sociality,14.733333333333333,0
287,2015-11-09T18:56:00Z,sit,Sociality,0,Sociality,NA,NA
882,2015-11-13T18:29:00Z,pers,A,1.25,A,10.266666666666667,0.12175324675324674
882,2015-11-14T04:45:00Z,pers,A,2.5,A,13.316666666666666,0.4693366708385482
